,user,item,cluster,Recommendations,Number of Recommendations
0,1502801,RP0105EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
1,1502801,BD0131EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
2,1502801,BD0212EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
3,1502801,BD0115EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
4,1502801,BD0211EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
5,1502801,BD0221EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
6,1502801,BD0223EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
7,1502801,BD0141EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
8,1502801,BD0111EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
9,1502801,BD0101EN,0,"['ML0101ENv3', 'ML0115EN', 'PY0101EN', 'BC0101EN', 'CO0101EN', 'CO0201EN', 'PY0101EN', 'DA0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'DV0101EN', 'ML0101ENv3', 'PY0101EN', 'DS0101EN', 'PY0101EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'PY0101EN', 'CB0103EN', 'DS0101EN', 'PY0101EN', 'RP0101EN', 'BC0101EN', 'BC0101EN', 'CB0103EN', 'CB0103EN', 'DS0101EN', 'DS0103EN', 'DS0105EN', 'ML0115EN', 'PY0101EN', 'RP0101EN']",34
